2KID,EAID,IS57,IS58,IS59,IS60,IS61,IS62,IS63,IS64,IS65,IS66,IS67,IS68,IS69,IS70,IS71,IS72,IS73,IS74,IS75,IS76,IS77,IS78,IS79,IS80,IS81,IS82,IS83,IS84,IS85,IS86,IS87,IS88,IS89,IS90,IS91,IS92,IS93,IS94,IS95,IS96,IS97,IS98,IS99,IS00,IS01,IS02,IS03,IS04,IS05,IS06,IS07,IS08,IS09,IS10,IS11,IS12,IS13,IS14,IS15,IS16,IS17,IS18,IS19,IS20,IS21,IS22,IS23,IS24
0,21,SYR,SYR,SYR,SYR,SYR,SYR,SYR,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI
1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,FALSE,FALSE,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA
2,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL,MIL
3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI
4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE
5,1,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS,BOS
6,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,SDC,SDC,SDC,SDC,SDC,SDC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC,LAC
7,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,VAN,VAN,VAN,VAN,VAN,VAN,MEM,MEM,MEM,MEM,MEM,MEM,MEM,MEM,MEM,MEM,MEM,MEM,MEM,MEM,MEM,MEM,MEM,MEM,MEM,MEM,MEM,MEM,MEM
8,0,STL,STL,STL,STL,STL,STL,STL,STL,STL,STL,STL,STL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL
9,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA
10,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,NOH,NOH,NOH,NOH,NOH,NOH,NOH,NOH,NOH,NOH,NOH,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP
11,28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NOJ,NOJ,NOJ,NOJ,NOJ,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA
12,24,ROC,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,KCO,KCO,KCO,KCK,KCK,KCK,KCK,KCK,KCK,KCK,KCK,KCK,KCK,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC
13,19,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY
14,12,MNL,MNL,MNL,MNL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL
15,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL
16,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL
17,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NYN,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,BKN,BKN,BKN,BKN,BKN,BKN,BKN,BKN,BKN,BKN,BKN,BKN
18,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN
19,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND
20,7,FTW,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET
21,27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR,TOR
22,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SDR,SDR,SDR,SDR,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU
23,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
24,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO,PHO
25,26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA,OKC,OKC,OKC,OKC,OKC,OKC,OKC,OKC,OKC,OKC,OKC,OKC,OKC,OKC,OKC,OKC
26,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN
27,23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR
28,8,PHW,PHW,PHW,PHW,PHW,PHW,SF,SF,SF,SF,SF,SF,SF,SF,SF,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS
29,29,FALSE,FALSE,FALSE,FALSE,FALSE,CHP,CHZ,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,CAP,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH,WSH
91,30,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST
92,31,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST,WEST
